Data Komentar Balasan (Edge/Reply Nodes),,,,,,,,,,,,,
ID Unik,Jenis Konten,Tautan Konten,Username,Teks Konten,Sentimen,Jumlah Views,Jumlah Likes,Jumlah Komentar,Jumlah Shares,Tahun,Balasan ID Komentar,Platform,Lokasi
T101,Komentar Balasan,https://vt.tiktok.com/ZSPPLBBEL/,AWTFZH,"@AWTFZH: Tolong para HRD kalo para pencari kerja gk ditrima dibalikin CVnya daripada dibuang , karna bkinnya effort biaya dll.",,,753,28,,2022,T13,TikTok,Indonesia
T102,Komentar Balasan,https://vt.tiktok.com/ZSPPLBBEL/,Reza,@Reza: yang gajinya cuma sejuta yuk bersyukur masih ada kerjaan,,,290,16,,2022,T13,TikTok,Indonesia
T103,Komentar Balasan,https://vt.tiktok.com/ZSPPNxJUV/,Raman Zad,@Raman Zad: daripada bayar jutaan Dollar ke iklan. enakan kasih ke konsumen REAL free ongkir aja deh.,,,1979,51,,2022,T14,TikTok,Indonesia
T104,Komentar Balasan,https://vt.tiktok.com/ZSPPNxJUV/,Syafiq.Salman.Saka,@Syafiq.Salman.Saka: padahal shopee ga perlu pake BA lah..krn yang diinginkan pembeli tuh bukan BA tapi banyak freong dan diskon.,,,1840,32,,2022,T14,TikTok,Indonesia
T105,Komentar Balasan,https://vt.tiktok.com/ZSPPNxJUV/,SitWell,@SitWell: Pada berlari ke tiktok shop wkwk,,,808,25,,2022,T14,TikTok,Indonesia
T106,Komentar Balasan,https://vt.tiktok.com/ZSPPNxJUV/,debora br sebayang,@debora br sebayang: shoppe ditinggalkan karena mahal di ongkir.serius deh,,,437,21,,2022,T14,TikTok,Indonesia
T107,Komentar Balasan,https://vt.tiktok.com/ZSPPYFafa/,Watashiwa eren,@Watashiwa eren: sampe 3 tahun ada🥺,,,54,2,,2022,T15,TikTok,Indonesia
T108,Komentar Balasan,https://vt.tiktok.com/ZSPPYFafa/,Jooooooooooooooooo,@Jooooooooooooooooo: ini yg gw takuti saat kuliah😌,,,33,3,,2022,T15,TikTok,Indonesia
T109,Komentar Balasan,https://vt.tiktok.com/ZSPPYFafa/,iky,"@iky: kak saya lulus SMK niatnya mau kerja dulu, nah lebih efisien mana, antara kerja sambil kuliah apa sambil ikut pelatihan untuk ngasah skill yg spesifik",,,31,6,,2022,T15,TikTok,Indonesia
T110,Komentar Balasan,https://vt.tiktok.com/ZSPPYFafa/,Mas J,"@Mas J: tp ada yg blg, kalo loker yang tersedia itu malah hanya formalitas saja. aslinya menaikan nama perusahaan padahal udh ada kandidat yg baru.",,,28,2,,2022,T15,TikTok,Indonesia
T111,Komentar Balasan,https://vt.tiktok.com/ZSPPjMuuS/,Sarah Situmorang,@Sarah Situmorang: kk udah aply dari minggu lalu tapi belum ada jawaban kk😁😁,,,48,7,,2022,T16,TikTok,Indonesia
T112,Komentar Balasan,https://vt.tiktok.com/ZSPPjMuuS/,dina noona nya NJ,@dina noona nya NJ: sayang nya laki laki yg di ambil,,,18,8,,2022,T16,TikTok,Indonesia
T113,Komentar Balasan,https://vt.tiktok.com/ZSPPjMuuS/,mowii,@mowii: kalo freshgraduate dan belum punya work experience gimana kak?,,,6,3,,2022,T16,TikTok,Indonesia
T114,Komentar Balasan,https://vt.tiktok.com/ZSPPjMuuS/,M snpr,@M snpr: fresh graduate?,,,3,3,,2022,T16,TikTok,Indonesia
T115,Komentar Balasan,https://vt.tiktok.com/ZSPP6PbCu/,VITO,"@VITO: waduh, ternyata anak sarjana juga nganggur ya. semoga ada solusi terbaik untuk cara mengatasi pengangguran di Indonesia :')",,,133,9,,2022,T17,TikTok,Indonesia
T116,Komentar Balasan,https://vt.tiktok.com/ZSPP6PbCu/,Abil,@Abil: terhambat dengan pengalaman apalagi usia di batasi beut sampe 25:),,,118,11,,2022,T17,TikTok,Indonesia
T117,Komentar Balasan,https://vt.tiktok.com/ZSPP6PbCu/,SecreNero🍀,@SecreNero🍀: lulusan SMK 2022 dan bulan ini ditahun 2023 belum dapet-dapet pekerjaan🙂,,,13,10,,2022,T17,TikTok,Indonesia
T118,Komentar Balasan,https://vt.tiktok.com/ZSPP6PbCu/,hfnofficial," @hfnofficial: gimana dapat kerja hrd aja nanya""kamu udh punya pengalaman?""dalem hati gw""gak punya pak,makanya saya melamar kerja di sini buat nyari pengalaman pak""",,,6,2,,2022,T17,TikTok,Indonesia
T119,Komentar Balasan,https://vt.tiktok.com/ZSPPMXpLW/,olyone77,@olyone77: hampir stres kalau nganggur🥺,,,862,31,,2022,T18,TikTok,Indonesia
T120,Komentar Balasan,https://vt.tiktok.com/ZSPPMXpLW/,nama saya,"@nama saya: Apalagi kalau temen udah dapat kerja, memang ga boleh iri tapi ya Allah giliran aku kapan. Tapi percaya aja takdir Allah itu indah😭",,,651,19,,2022,T18,TikTok,Indonesia
T121,Komentar Balasan,https://vt.tiktok.com/ZSPPMXpLW/,your mine,@your mine: insyaAllah yg masih mganggur sbelum 2023 udah dapet kerja semua aamiin🥰,,,607,43,,2022,T18,TikTok,Indonesia
T122,Komentar Balasan,https://vt.tiktok.com/ZSPPMXpLW/,hallow,@hallow: ya Allah ga minta banyak kok aku cuman pengen kerja capek nganggur pengen jdi anak yg berguna😌,,,490,6,,2022,T18,TikTok,Indonesia
T123,Komentar Balasan,https://vt.tiktok.com/ZSPPh1ENB/,Anggi,@Anggi: tkt banget pas wawancara pake bahasa Inggris,,,1761,6,,2022,T19,TikTok,Indonesia
T124,Komentar Balasan,https://vt.tiktok.com/ZSPPh1ENB/,nonaktif1acc_,"@nonaktif1acc_: cari loker tu gampang, keterimanya yg susah😭",,,1131,5,,2022,T19,TikTok,Indonesia
T125,Komentar Balasan,https://vt.tiktok.com/ZSPPh1ENB/,dnqrthoon,@dnqrthoon: bingung bikin vc nya ka,,,401,276,,2022,T19,TikTok,Indonesia
T126,Komentar Balasan,https://vt.tiktok.com/ZSPPh1ENB/,trianaarss,@trianaarss: lah itumah lokernya pialang,,,4,1,,2022,T19,TikTok,Indonesia
T127,Komentar Balasan,https://vt.tiktok.com/ZSPPktMWB/,f,"@f: nyari bareng yu saya dri Jawa barat, ga ada temen✌️",,,37,36,,2022,T20,TikTok,Indonesia
